City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Hamilton,US,39.18,-84.53,70.0,77,90,9.17,2020-09-11 23:55:41
1,Port Hedland,AU,-20.32,118.57,75.2,60,0,5.82,2020-09-11 23:55:41
2,Punta Arenas,CL,-53.15,-70.92,42.8,70,90,13.87,2020-09-11 23:52:30
3,Kahului,US,20.89,-156.47,91.4,43,40,24.16,2020-09-11 23:52:01
4,Conde,BR,-7.26,-34.91,75.2,78,40,8.05,2020-09-11 23:55:42
5,Manavgat,TR,36.79,31.44,80.6,74,40,4.7,2020-09-11 23:55:43
6,Mataura,NZ,-46.19,168.86,54.0,64,99,4.0,2020-09-11 23:55:43
7,Surman,LY,32.76,12.57,80.94,76,12,10.58,2020-09-11 23:55:43
8,Khatanga,RU,71.97,102.5,48.74,61,94,7.7,2020-09-11 23:55:44
9,Brae,GB,60.4,-1.35,51.8,81,40,29.97,2020-09-11 23:55:44
10,Cape Town,ZA,-33.93,18.42,55.4,82,94,3.36,2020-09-11 23:55:44
11,Taywarah,AF,33.35,64.42,42.46,56,0,6.98,2020-09-11 23:55:45
12,Duma,CN,34.77,108.14,66.2,93,21,11.18,2020-09-11 23:55:45
13,Roura,GF,4.73,-52.33,80.6,83,50,6.93,2020-09-11 23:55:45
14,Norman Wells,CA,65.28,-126.83,51.8,50,75,8.05,2020-09-11 23:55:46
15,Arraial Do Cabo,BR,-22.97,-42.03,72.59,86,7,8.77,2020-09-11 23:55:46
16,Ushuaia,AR,-54.8,-68.3,41.0,65,20,8.05,2020-09-11 23:51:34
17,Aranos,NA,-24.13,19.12,64.35,27,0,15.08,2020-09-11 23:55:46
18,Victoria,HK,22.29,114.16,84.0,85,95,5.39,2020-09-11 23:55:47
19,Albany,US,42.6,-73.97,60.01,79,0,4.61,2020-09-11 23:52:28
20,Salinas,US,36.68,-121.66,66.99,72,1,10.29,2020-09-11 23:52:50
21,Rikitea,PF,-23.12,-134.97,73.8,86,63,11.54,2020-09-11 23:55:47
22,Barrow,US,71.29,-156.79,35.6,74,90,14.99,2020-09-11 23:52:33
23,Klaksvik,FO,62.23,-6.59,48.2,81,23,18.34,2020-09-11 23:55:47
24,Petrozavodsk,RU,61.78,34.35,42.8,100,70,4.47,2020-09-11 23:55:48
25,Jamestown,US,42.1,-79.24,60.01,77,1,9.17,2020-09-11 23:55:21
26,Puerto Ayora,EC,-0.74,-90.35,68.0,90,83,7.0,2020-09-11 23:55:48
27,Torbay,CA,47.67,-52.73,51.01,93,90,13.87,2020-09-11 23:55:49
28,Svetlaya,RU,46.54,138.33,59.81,63,0,4.88,2020-09-11 23:55:49
29,Itaituba,BR,-4.28,-55.98,82.15,54,46,1.43,2020-09-11 23:55:49
30,Beloha,MG,-25.17,45.05,65.17,94,0,2.64,2020-09-11 23:55:49
31,Isiro,CD,2.77,27.62,66.85,99,100,1.68,2020-09-11 23:55:50
32,Craig,US,40.52,-107.55,66.2,25,1,17.22,2020-09-11 23:53:07
33,Atuona,PF,-9.8,-139.03,79.16,75,2,20.47,2020-09-11 23:55:50
34,Candido Mendes,BR,-1.45,-45.72,76.48,85,86,4.56,2020-09-11 23:55:51
35,Nikolskoye,RU,59.7,30.79,48.99,87,65,2.24,2020-09-11 23:55:51
36,Yumen,CN,40.28,97.2,49.93,47,0,9.31,2020-09-11 23:55:52
