City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Khandyga,RU,62.67,135.6,52.09,50,0,1.23,2020-08-26 22:31:33
1,Yellowknife,CA,62.46,-114.35,57.2,93,90,3.36,2020-08-26 22:31:03
2,Kapaa,US,22.08,-159.32,86.0,66,40,11.41,2020-08-26 22:31:33
3,Beyneu,KZ,45.32,55.2,72.64,24,0,5.91,2020-08-26 22:31:33
4,Naze,JP,28.37,129.48,80.6,88,75,28.86,2020-08-26 22:31:33
5,Ushuaia,AR,-54.8,-68.3,41.0,56,75,3.51,2020-08-26 22:31:33
6,Port Alfred,ZA,-33.59,26.89,58.51,68,79,18.39,2020-08-26 22:31:33
7,Atar,MR,20.52,-13.05,97.38,32,30,3.2,2020-08-26 22:31:34
8,Nishihara,JP,26.18,127.76,82.4,94,75,10.29,2020-08-26 22:31:34
9,Pithora,IN,21.27,82.52,73.47,97,100,12.26,2020-08-26 22:31:34
10,Ortona,IT,42.35,14.4,75.99,78,0,4.7,2020-08-26 22:31:34
11,Nikolskoye,RU,59.7,30.79,57.0,76,93,4.56,2020-08-26 22:31:34
12,Torbay,CA,47.67,-52.73,62.01,100,90,19.46,2020-08-26 22:31:34
13,Mata,PT,40.68,-7.46,66.99,81,0,3.38,2020-08-26 22:31:34
14,Lagoa,PT,39.05,-27.98,74.16,89,88,3.83,2020-08-26 22:31:35
15,Kharan,PK,28.58,65.42,82.83,43,74,3.6,2020-08-26 22:31:35
16,Datong,CN,40.09,113.29,64.92,63,8,3.36,2020-08-26 22:31:35
17,Bengkulu,ID,-3.8,102.27,74.16,88,47,5.44,2020-08-26 22:31:35
18,Zhigansk,RU,66.77,123.37,50.25,48,1,2.33,2020-08-26 22:31:35
19,Bluff,NZ,-46.6,168.33,45.0,72,59,11.01,2020-08-26 22:31:35
20,Hermanus,ZA,-34.42,19.23,52.79,79,0,15.64,2020-08-26 22:31:35
21,Abbeville,FR,50.1,1.83,57.0,80,100,7.34,2020-08-26 22:31:36
22,Mataura,NZ,-46.19,168.86,45.0,72,76,11.01,2020-08-26 22:31:36
23,Bredasdorp,ZA,-34.53,20.04,59.0,62,16,8.05,2020-08-26 22:31:36
24,Puerto Ayora,EC,-0.74,-90.35,77.0,57,75,20.8,2020-08-26 22:31:06
25,Atuona,PF,-9.8,-139.03,78.46,77,41,21.34,2020-08-26 22:31:36
26,Margate,GB,51.38,1.39,64.99,79,88,1.99,2020-08-26 22:30:16
27,Dikson,RU,73.51,80.55,44.33,100,100,5.64,2020-08-26 22:31:37
28,Punta Arenas,CL,-53.15,-70.92,41.0,69,90,16.11,2020-08-26 22:28:52
29,Arraial Do Cabo,BR,-22.97,-42.03,68.0,88,40,12.75,2020-08-26 22:29:07
30,Erenhot,CN,43.65,111.98,72.46,40,0,8.37,2020-08-26 22:31:37
31,Cherskiy,RU,68.75,161.3,41.38,87,98,6.6,2020-08-26 22:31:37
32,Albany,US,42.6,-73.97,70.0,45,84,9.28,2020-08-26 22:31:37
33,Svetlogorsk,BY,52.63,29.73,57.4,92,69,10.8,2020-08-26 22:31:37
34,Fortuna,US,40.6,-124.16,63.0,82,20,14.99,2020-08-26 22:31:37
35,Lavrentiya,RU,65.58,-171.0,50.23,75,77,2.82,2020-08-26 22:31:38
36,Nuevo Casas Grandes,MX,30.42,-107.92,93.0,18,0,5.99,2020-08-26 22:31:38
37,Iqaluit,CA,63.75,-68.51,44.6,87,75,4.7,2020-08-26 22:31:38
38,Vaini,TO,-21.2,-175.2,78.8,65,20,10.29,2020-08-26 22:31:38
39,Aberdeen,GB,57.14,-2.1,52.0,87,75,2.24,2020-08-26 22:27:37
40,Grajau,BR,-5.82,-46.14,84.65,44,83,1.25,2020-08-26 22:27:33
41,Moindou,NC,-21.69,165.68,71.6,53,20,13.87,2020-08-26 22:31:39
42,Namatanai,PG,-3.67,152.43,82.62,76,59,6.98,2020-08-26 22:31:39
43,Rikitea,PF,-23.12,-134.97,68.72,60,0,6.76,2020-08-26 22:31:39
44,Cap Malheureux,MU,-19.98,57.61,72.0,71,4,5.99,2020-08-26 22:31:39
45,Chenzhou,CN,25.8,113.03,72.88,88,0,0.51,2020-08-26 22:31:19
46,Hobart,AU,-42.88,147.33,50.0,66,75,6.93,2020-08-26 22:31:14
47,Noumea,NC,-22.28,166.46,71.6,53,20,13.87,2020-08-26 22:28:02
48,Jamestown,US,42.1,-79.24,73.0,78,75,11.41,2020-08-26 22:31:39
49,Codrington,AU,-38.27,141.97,51.78,84,19,15.21,2020-08-26 22:31:40
50,Paamiut,GL,61.99,-49.67,43.92,79,12,5.5,2020-08-26 22:31:40
51,Ponta Do Sol,PT,32.67,-17.1,77.0,56,0,4.36,2020-08-26 22:31:40
52,Bad Windsheim,DE,49.5,10.42,66.2,52,90,11.41,2020-08-26 22:31:40
53,Port Hardy,CA,50.7,-127.42,62.6,82,75,5.82,2020-08-26 22:31:40
54,Hilo,US,19.73,-155.09,84.2,62,1,10.29,2020-08-26 22:30:18
55,Jibuti,DJ,11.5,42.5,96.8,28,1,2.46,2020-08-26 22:31:40
56,Saint-Philippe,RE,-21.36,55.77,71.6,72,49,5.82,2020-08-26 22:31:41
57,Carutapera,BR,-1.2,-46.02,78.19,82,10,8.12,2020-08-26 22:31:41
58,Sisimiut,GL,66.94,-53.67,49.03,68,30,3.4,2020-08-26 22:31:41
59,Tuatapere,NZ,-46.13,167.68,45.0,72,91,11.01,2020-08-26 22:31:41
60,Pangnirtung,CA,66.15,-65.71,47.52,71,57,3.15,2020-08-26 22:31:41
61,Challapata,BO,-18.9,-66.77,50.02,46,0,2.35,2020-08-26 22:31:41
62,Hithadhoo,MV,-0.6,73.08,82.76,64,94,3.8,2020-08-26 22:31:41
63,Cape Town,ZA,-33.93,18.42,57.0,71,0,6.93,2020-08-26 22:28:51
64,Nanortalik,GL,60.14,-45.24,46.13,79,0,2.42,2020-08-26 22:31:42
65,Kavaratti,IN,10.57,72.64,81.39,73,100,12.3,2020-08-26 22:31:42
66,East London,ZA,-33.02,27.91,59.56,67,93,15.97,2020-08-26 22:31:42
67,Torrijos,ES,39.98,-4.28,88.0,18,0,6.33,2020-08-26 22:31:42
68,Nuuk,GL,64.18,-51.72,51.8,71,11,5.82,2020-08-26 22:31:42
69,Katsuura,JP,35.13,140.3,87.01,100,75,4.7,2020-08-26 22:31:42
70,Xichang,CN,27.9,102.26,60.1,78,10,0.85,2020-08-26 22:30:57
71,Bajil,YE,15.06,43.29,91.02,56,100,7.99,2020-08-26 22:31:43
72,Sioux Lookout,CA,50.1,-91.92,68.0,82,90,3.36,2020-08-26 22:31:43
73,Ancud,CL,-41.87,-73.82,50.0,100,90,11.41,2020-08-26 22:31:43
74,Butaritari,KI,3.07,172.79,81.86,68,0,1.81,2020-08-26 22:31:43
75,At-Bashi,KG,41.17,75.81,54.23,73,96,3.06,2020-08-26 22:31:43
76,Muros,ES,42.78,-9.06,68.0,95,16,5.99,2020-08-26 22:31:43
77,Mulege,MX,26.88,-111.98,94.37,45,0,8.7,2020-08-26 22:31:44
78,Impfondo,CG,1.64,18.07,73.06,81,97,0.18,2020-08-26 22:31:44
79,Ribeira Grande,PT,38.52,-28.7,74.3,88,81,5.48,2020-08-26 22:31:44
80,Vostok,RU,46.49,135.88,64.04,78,65,1.97,2020-08-26 22:31:44
81,Magadan,RU,59.57,150.8,54.43,47,42,1.74,2020-08-26 22:31:44
82,Pauini,BR,-7.71,-66.98,84.38,35,59,1.74,2020-08-26 22:31:44
83,Makakilo City,US,21.35,-158.09,89.6,43,40,6.93,2020-08-26 22:31:39
84,Ajaccio,FR,42.0,8.92,71.6,78,2,5.82,2020-08-26 22:31:45
85,Avarua,CK,-21.21,-159.78,77.0,61,56,4.7,2020-08-26 22:27:51
86,Upernavik,GL,72.79,-56.15,43.38,69,100,6.15,2020-08-26 22:31:45
87,Marawi,PH,8.0,124.29,75.0,93,91,4.0,2020-08-26 22:31:45
88,Tuktoyaktuk,CA,69.45,-133.04,50.0,66,20,10.29,2020-08-26 22:31:45
89,Kaoma,ZM,-14.78,24.8,60.93,42,0,1.9,2020-08-26 22:31:45
90,Syracuse,IT,37.09,15.28,78.8,78,0,8.05,2020-08-26 22:31:45
91,Luderitz,NA,-26.65,15.16,55.51,77,0,9.4,2020-08-26 22:31:46
92,Aksum,ET,14.12,38.72,59.72,93,81,1.59,2020-08-26 22:31:46
93,Awbari,LY,26.59,12.78,79.79,23,0,6.11,2020-08-26 22:31:46
94,Ambovombe,MG,-25.17,46.08,72.34,73,99,5.82,2020-08-26 22:31:46
95,Kologriv,RU,58.83,44.32,56.66,97,99,6.51,2020-08-26 22:31:46
96,Saskylakh,RU,71.92,114.08,58.51,52,4,4.5,2020-08-26 22:31:46
97,Chokurdakh,RU,70.63,147.92,40.41,91,99,6.11,2020-08-26 22:31:46
98,Sept-Iles,CA,50.2,-66.38,50.0,70,90,19.46,2020-08-26 22:31:47
99,Kalemie,CD,-5.95,29.19,74.5,55,32,4.74,2020-08-26 22:31:47
100,Skelleftea,SE,64.75,20.95,44.01,100,0,8.05,2020-08-26 22:31:47
101,Whitehorse,CA,60.72,-135.05,60.01,51,75,8.05,2020-08-26 22:31:47
102,Tacna,PE,-18.01,-70.25,62.6,77,20,10.29,2020-08-26 22:27:55
